	xxx|yyy	player_name	tag	village_points	player_points	village_id	player_id	tribe_id	village_name
84	512|485	Kiborg2	-=ЛС=-	4467	50857	99	1448234	1	**4**
85	464|487	chella	Шпана	9345	97358	100	264161	10	Ёжик
86	507|492	рот мне в ноги	-=ЛC=-	9155	50001	103	1485794	27	Здесь живёт рот мне в ноги
87	502|510	Hank Moody85.	HuntrX	771	64558	106	1191197	26	Деревня варваров
88	527|480	kuzhenkino96	-=ЛC=-	9383	33300	107	1799805	27	001 Здесь живёт kuzhenkino96
89	517|449	рыцарь ххх	-=ЛС=-	9265	105402	108	1186706	1	ххх
90	484|489	Анархия	Шпана	2501	52650	109	848941893	10	Деревня варваров
91	511|445	рыцарь ххх	-=ЛС=-	9618	105402	110	1186706	1	ххх
92	522|530	inmortal203	HuntrX	3128	21132	111	848944339	26	05. Отличное название
93	525|476	n0n4eS	-=ЛС=-	8662	174023	112	2079486	1	......!
94	489|482	funduk08	Шпана	3489	107037	113	999421	10	Дворянин
95	522|471	Святослав	-=ЛС=-	9550	30474	114	1982043	1	Спи спокойно, Атака началась
96	552|486	ossiriss	-=ЛС=-	8207	99993	115	2001797	1	100б
97	521|531	noname00	HuntrX	7053	123769	116	848929267	26	здесь живёт Джек-потрошитель
98	485|487	Рыбак 007	Шпана	1219	63040	117	1703942	10	Густерка
99	523|456	Ханс Руди Гигер	-=ЛС=-	8126	96849	118	2027254	1	A01
100	517|448	рыцарь ххх	-=ЛС=-	8745	105402	119	1186706	1	ххх
101	484|475	Знаменский	Шпана	1982	77222	120	1312262	10	ХВАТИТ!
102	544|489	Artizus	-=ЛC=-	9198	85151	121	2033902	27	[001] Logos
103	533|516	aNr147	HuntrЙ	533	23530	122	848914484	77	Деревня варваров
104	496|447	Барин Боярин	-=ЛС=-	9072	60992	123	2053402	1	Бум
105	486|531	Grozzz	HuntrX	5050	54013	124	848917128	26	06. ндааа
106	525|475	n0n4eS	-=ЛС=-	9644	174023	125	2079486	1	Здесь живёт n0n4eS
107	527|459	TheLev1athan	-=ЛС=-	8214	65614	126	2092438	1	[001] Дожили
108	521|489	ЛордАлесандро	-=ЛС=-	9093	183130	127	1280925	1	[006]АРГОС
109	555|494	Чтпз	-=ЛC=-	9564	59617	128	2094105	27	Рим
110	504|481	Alximick-	-=ЛС=-	9380	70069	129	2094307	1	001. Гондор
111	526|451	Оффер	-=ЛС=-	9732	35940	130	2103284	1	{001} Сенат и граждане Рима
112	496|494	Дмитрий А.	-=ЛС=-	1254	79872	131	848943263	1	006
113	549|477	Agentdrakon	-=ЛС=-	8805	30454	132	848889764	1	Очень крутое название
114	524|530	Lady infinity	HuntrY	5607	41706	133	1619719	34	-=006=-
115	525|450	Тюфяк	-=ЛС=-	9623	95657	134	848899351	1	001
116	474|500	Eliga	Шпана	4564	48695	135	198369	10	005
117	542|463	tazjke	-=ЛС=-	8207	57123	136	848902778	1	001
118	499|529	КаК сАм	HuntrX	7982	65525	137	249701	26	Бункер 2
119	508|503	trukker	-=ЛС=-	3523	91054	138	411942	1	Бонусная деревня
120	494|503	Like a Wind	GAME	6588	280395	139	1244572	31	No Leaf Clover
121	517|489	Medvedyo	HuntrY	4500	96511	140	848924009	34	006-Острова Гекко
122	540|466	Arturpp	-=ЛС=-	9323	66887	141	848915741	1	001
123	503|444	3DShpion	-=ЛС=-	8872	144684	142	848920934	1	Aruana
124	516|474	-=НЕПОВТОРИМЫЙ=-	-=ЛС=-	1528	78135	143	1465651	1	Деревня варваров
125	485|526	idy na vy	HuntrX	3384	61636	144	2083685	26	~[11]~ Вторая
126	542|467	Лорд Славик	-=ЛС=-	9359	72047	145	848922253	1	;-)
127	519|532	Beha-x	HuntrX	3763	47375	146	1713711	26	006
128	546|472	green joy	-=ЛС=-	10152	91824	147	848925255	1	001
129	514|465	Кирпич1970	-=ЛС=-	3715	80053	148	1039164	1	Норма
130	501|444	Blackened	-=ЛС=-	9911	46784	149	848944217	1	Грай
131	529|496	kakocuk	Живки	473	28598	150	848930302	11	1001 Череп для трона
132	515|502	-=НЕПОВТОРИМЫЙ=-	-=ЛС=-	7865	78135	152	1465651	1	@НЕАПОЛЬ@
133	486|506	NeHeRTiti	NW.	5792	132083	153	848944347	70	Я подсяду?
134	549|510	Доктор Пай	HuntrY	9501	145428	154	1612607	34	Канiв
135	485|496	Artizus	-=ЛC=-	2535	85151	155	2033902	27	[103] Iris
136	472|507	Одинокий Волк	Шпана	6760	52591	156	556929	10	Дворянин
137	543|516	BrainBlast	HuntrY	9976	56053	157	848922728	34	004
138	495|490	Like a Wind	GAME	443	280395	158	1244572	31	Деревня варваров
139	518|512	Anvel	HuntrX	6062	113697	159	1118336	26	Policy of Truth
140	521|467	Святослав	-=ЛС=-	1337	30474	160	1982043	1	Спи спокойно, Жечь начну отсюда
141	488|534	Huligan.gaz	HuntrX	8363	82348	161	1098217	26	_004_
142	517|503	Girlond	HuntrY	4433	102074	162	848906104	34	003.Рагнарек
143	501|471	naimvic	-=ЛС=-	2027	80697	163	1848857	1	....
144	488|500	NeHeRTiti	NW.	2519	132083	164	848944347	70	А если я тебя?
145	526|502	BlackPrince	HuntrY	831	95768	165	1616962	34	Деревня варваров
146	468|488	4ikatiladaum	Шпана	756	64650	166	1655570	10	013
147	552|516	Доктор Пай	HuntrY	9935	145428	167	1612607	34	Я Не ТрУс Но Я БоЮсЬ
148	470|482	OstinOne	Апачи	4705	48262	168	848942533	40	***
149	517|511	vladpolo	HuntrX	8332	74855	169	848944172	26	007
150	510|537	Zimm	HuntrX	8115	115140	170	1532987	26	{013} Шляпа1
151	512|515	Zimm	HuntrX	8820	115140	171	1532987	26	{009} Front1
152	465|508	Феерия	NW	2284	36305	172	1697676	59	004-
153	539|512	VOVAN84	HuntrY	7092	71549	173	1504882	34	Здесь живёт lyka
154	482|520	Квазимода	NW	2368	112250	174	848931337	59	Б 002 Закатный
155	506|487	Tsarfolk	-=ЛС=-	5891	46232	176	1927762	1	003
156	480|492	Анархия	Шпана	6345	52650	177	848941893	10	mid 005
157	518|501	Картавый Джо	HuntrY	742	8392	178	848944351	34	Деревня варваров
158	508|481	Alximick-	-=ЛС=-	4948	70069	179	2094307	1	002. Гондор
159	554|486	ГебриэЛ	Живки	8648	32211	180	15538	11	Здесь живёт ГебриэЛ
160	507|519	uncle Barney	HuntrX	1398	64968	181	1203603	26	Деревня варваров
161	490|519	titul911	HuntrX	6222	81278	182	2079420	26	~[007]Гилберт
162	551|489	areaper	Живки	10132	71463	183	20030	11	Икша-Рубеч
163	533|523	BlackPrince	HuntrY	9795	95768	184	1616962	34	1 CLIK-CLAK, CLIK-CLAK
164	549|487	ChopperMAX	Живки	5229	6295	185	2099587	11	makima#
165	499|507	Ханс Руди Гигер	-=ЛС=-	2244	96849	186	2027254	1	S05
166	519|517	Brutus	HuntrX	2905	40467	187	281990	26	007 Brutus
167	519|530	Болт	HuntrX	3301	55357	188	2105446	26	007
168	484|532	titul911	HuntrX	8726	81278	189	2079420	26	~[002]Новый Дом
169	545|484	DJEKSAN25	Живки	9372	24643	190	1249407	11	ЛОГОВО СМЕРТИ
170	481|513	dianas	Шпана	4942	115311	191	1128262	10	011 варвар
171	544|487	Artizus	-=ЛC=-	9655	85151	192	2033902	27	[008] Koros
172	479|516	Квазимода	NW	5773	112250	193	848931337	59	Б 005 Амберли
173	539|492	GreenCreed	Живки	2690	50014	194	848900671	11	Давай на лево***
174	513|497	Dronovsky	HuntrY	5241	14741	195	1530157	34	Упс
175	553|489	ASapojnik	Живки	5265	9255	196	1381420	11	01. McDonalds
176	536|485	kam231269	-=ЛC=-	5297	30094	197	848919686	27	ЛЕГИОН 003
177	554|491	alisa20	Живки	10537	32292	198	1387282	11	а Мазом-Роттевирп
178	494|518	Hank Moody85.	HuntrX	2283	64558	199	1191197	26	улей7
179	502|511	Hank Moody85.	HuntrX	788	64558	200	1191197	26	Деревня варваров
180	553|487	Гоpыныч	Живки	9931	61525	201	1768847	11	Балять мои крылья ..
181	479|520	Токмэн	NW	6334	67959	202	1180540	59	AVE! A02
182	552|491	Gonzarov	Живки	4236	22363	203	1956228	11	мир 100
183	530|503	Дабранач	Живки	9729	28355	204	2078440	11	001.Здесь живёт Дабранач
184	500|511	KoreshDmdl	HuntrX	3514	62029	205	1480573	26	008 Деревня варваров
185	547|495	Aftanzill2020	Живки	9382	21774	206	848880076	11	Давай направо***
186	520|481	тетя. Ася	-=ЛС=-	6555	52496	208	1084387	1	003
187	553|484	Ламака	Живки	10132	35577	209	848898206	11	Квасики
188	535|491	samat09	-=ЛС=-	10008	177136	210	394546	1	Мордор +
189	482|497	Kotigoroshko	Шпана	1346	50771	211	317076	10	009
190	485|537	IIcbIX...	HuntrX	7102	90320	212	576406	26	005
191	548|495	GreenCreed	Живки	8864	50014	213	848900671	11	Давай на лево***
192	553|490	Танкист	Живки	10925	52326	215	848930112	11	001
193	520|535	Beha-x	HuntrX	4616	47375	216	1713711	26	004
194	546|491	kakocuk	Живки	9771	28598	217	848930302	11	1000 Черепов для трона
195	461|508	Феерия	NW	1631	36305	218	1697676	59	006-
196	526|479	n0n4eS	-=ЛС=-	6854	174023	219	2079486	1	...,
197	514|510	Huligan.gaz	HuntrX	2826	82348	220	1098217	26	_111_
198	516|504	Medvedyo	HuntrY	5433	96511	222	848924009	34	012-Литл Гарден
199	511|507	trail	HuntrX	5360	67660	223	1588716	26	Random
200	527|455	88Magnum88	-=ЛС=-	9720	101235	224	848922770	1	002
201	498|490	ivanmp3	GAME	668	25452	225	1589979	31	Деревня варваров
202	536|457	88Magnum88	-=ЛС=-	10083	101235	226	848922770	1	006
203	530|464	Fatiko	-=ЛС=-	10495	100550	227	848942719	1	003
204	492|506	Valckiriya	HuntrX	379	39537	228	1328434	26	Деревня варваров
205	538|470	Wanderer68	-=ЛC=-	10362	96632	229	996111	27	Wanderer68
206	524|454	Макроша	-=ЛC=-	7075	37322	231	848937986	27	Ниневия
207	520|477	n0n4eS	-=ЛС=-	4031	174023	232	2079486	1	Деревня варваров
208	528|459	Mal4uK	-=ЛС=-	9708	69352	233	1021565	1	002 Ташкент
209	531|488	=Брат=	Живки	1503	19458	234	1495078	11	Вар 3
210	525|467	n0n4eS	-=ЛС=-	8566	174023	235	2079486	1	Деревня варваров
211	532|491	Дабранач	Живки	3417	28355	236	2078440	11	004.Деревня варваров
212	521|477	n0n4eS	-=ЛС=-	6418	174023	238	2079486	1	002[Лагер]
213	533|458	Барборос	-=ЛC=-	7946	76919	239	848905553	27	003. жил Беляев.
214	498|449	*zalina*	-=ЛС=-	5826	104339	240	1097487	1	006 Марсель
215	483|489	Анархия	Шпана	2367	52650	242	848941893	10	Деревня варваров
216	485|527	HarDDD	HuntrX	4877	47843	243	2097439	26	010
217	529|533	Addari	HuntrY	7370	122427	244	848931730	34	001.3 Веселые троли
218	505|469	naimvic	-=ЛС=-	717	80697	245	1848857	1	....
219	498|516	Hank Moody85.	HuntrX	2182	64558	247	1191197	26	улей8
220	488|494	Artizus	-=ЛC=-	4247	85151	248	2033902	27	[102] Zephyrus
221	510|505	samat09	-=ЛС=-	8496	177136	249	394546	1	МММ +
222	506|555	gagarin777	ВиА Б	9413	33577	251	151326	68	100 ру
223	497|512	Trubadur47	HuntrX	5565	44113	252	1895599	26	-Д3-
224	496|525	petruxa94pl	HuntrX	9620	45693	253	848938445	26	?.?
225	523|499	Girlond	HuntrY	5391	102074	254	848906104	34	2.04
226	491|518	titul911	HuntrX	7961	81278	257	2079420	26	~[006]Битер
227	530|520	vip911	HuntrY	8761	110081	258	483900	34	002 мир 100
228	461|496	Maskito	Шпана	1711	83577	259	848928944	10	015 Деревня варваров
229	471|500	Skmp	Шпана	4283	32487	261	848930715	10	nothing impossible
230	485|529	titul911	HuntrX	5721	81278	262	2079420	26	~[011]Деревня
231	489|511	Valckiriya	HuntrX	1277	39537	263	1328434	26	003_
232	486|526	Aдмин Беспрeдeлов	HuntrX	9227	103906	264	1875418	26	Дворянин
233	499|460	xCRYSISx	-=ЛС=-	4111	70094	265	444725	1	009.Приволжский
234	485|536	Северный народ	HuntrX	5013	80062	266	848899645	26	Деревня варваров
235	494|529	uncle Barney	HuntrX	9042	64968	267	1203603	26	Деревня варваров
236	511|532	Болт	HuntrX	10197	55357	268	2105446	26	001
237	470|516	RussLord	Шпана	4873	92384	269	848936052	10	911
238	551|526	Reckless Wanderer	HuntrX	8166	214685	270	1632070	26	DarkCity
239	511|521	Poker face	HuntrX	2818	30361	271	1505374	26	Деревня варваров
240	478|483	4ikatiladaum	Шпана	8714	64650	272	1655570	10	004
241	503|557	Xtaz	NW	4707	50818	273	1358946	59	Дворянин
242	476|501	Eliga	Шпана	5157	48695	274	198369	10	004
243	503|517	uncle Barney	HuntrX	1030	64968	276	1203603	26	Бонусная деревня
244	502|523	Voodoo	HuntrY	1712	62896	277	1760606	34	Здесь живёт shalaipai4ik
245	531|516	vip911	HuntrY	8808	110081	279	483900	34	011 мир 100
246	484|535	IIcbIX...	HuntrX	5423	90320	280	576406	26	010
247	499|521	Neochem	HuntrX	7793	181710	281	148138	26	007 Остров
248	507|537	zorgan6	HuntrX	8204	99556	282	896145	26	003
249	535|520	BlackPrince	HuntrY	10019	95768	283	1616962	34	1 We Got The Moves
250	508|507	Mighty Fall	HuntrX	9888	99287	284	1981863	26	012 Kyoukaisen
251	529|478	kuzhenkino96	-=ЛC=-	5906	33300	285	1799805	27	003 Деревня варваров
252	512|507	ЛордАлесандро	-=ЛС=-	9056	183130	286	1280925	1	[018]СЕЛЕВКИЯ
253	476|532	Антиквaр и RedgiDi	HuntrX	9505	65830	287	848928802	26	Just for you 002
254	491|511	Самаэль Лилит	HuntrX	4562	56427	288	848926143	26	100
255	488|513	Теснящийся в штанах	HuntrX	9599	116412	289	1457551	26	009.May the force be with you
256	465|492	alex1909	Апачи	2189	18040	290	848942693	40	011. Апачи
257	466|511	Феерия	NW	6815	36305	292	1697676	59	002-Клякса-
258	505|507	Neochem	HuntrX	7083	181710	293	148138	26	015
259	516|471	Святослав	-=ЛС=-	750	30474	294	1982043	1	Спи спокойно, Уничтожение гарант
260	505|531	Anvel	HuntrX	9409	113697	295	1118336	26	It's No Good
261	501|467	naimvic	-=ЛС=-	2851	80697	296	1848857	1	....
262	510|501	samat09	-=ЛС=-	8629	177136	297	394546	1	МММ +
263	500|516	KoreshDmdl	HuntrX	9104	62029	298	1480573	26	002 Хрюндель - 1
264	499|522	Neochem	HuntrX	9968	181710	299	148138	26	006 Иваны4
265	531|482	n0n4eS	-=ЛС=-	3573	174023	300	2079486	1	Запад
266	461|480	lshtw	Шпана	9241	55232	301	848901374	10	Здесь живёт lshtw
267	480|497	Kotigoroshko	Шпана	899	50771	302	317076	10	014
268	484|533	Aдмин Беспрeдeлов	HuntrX	7069	103906	303	1875418	26	Дворянин
269	487|490	Анархия	Шпана	1343	52650	304	848941893	10	Деревня варваров
270	517|499	Girlond	HuntrY	4557	102074	305	848906104	34	2.05.
271	527|475	n0n4eS	-=ЛС=-	5218	174023	306	2079486	1	Деревня варваров
272	511|531	Болт	HuntrX	7668	55357	307	2105446	26	003
273	523|512	R0NIN	Живки	9065	36973	308	848944196	11	Плюк
274	470|490	alex1909	Апачи	547	18040	309	848942693	40	Деревня варваров
275	487|477	funduk08	Шпана	3723	107037	310	999421	10	Дворянин
276	494|524	Anion	HuntrX	7855	79576	311	2016651	26	005. Здесь жил twpro ;)
277	514|525	Болт	HuntrX	9786	55357	313	2105446	26	004
278	504|468	naimvic	-=ЛС=-	509	80697	314	1848857	1	Деревня варваров
279	508|505	trukker	-=ЛС=-	8592	91054	315	411942	1	Georgia 03
280	520|473	Святослав	-=ЛС=-	631	30474	316	1982043	1	Спи спокойно, Злоба уже вышла
281	509|501	trukker	-=ЛС=-	9057	91054	317	411942	1	Saint George
282	493|498	Wanderer68	-=ЛC=-	4621	96632	318	996111	27	Wanderer68
283	475|504	Eliga	Шпана	4574	48695	319	198369	10	007
284	529|517	vip911	HuntrY	8519	110081	320	483900	34	007 мир 100
285	473|498	Skmp	Шпана	890	32487	321	848930715	10	nothing impossible
286	515|519	trail	HuntrX	2768	67660	323	1588716	26	Random
287	519|531	DarkKnight	HuntrX	7174	102913	324	58621	26	-=X@X=-
288	476|512	Дагир	NW	7096	67856	325	119100	59	Дагир 007
289	468|518	Дагир	NW	2269	67856	327	119100	59	Деревня варваров
290	529|509	Medvedyo	HuntrY	8831	96511	328	848924009	34	011-Остров Кактус
291	506|531	Anvel	HuntrX	8328	113697	330	1118336	26	Stripped
292	471|505	RussLord	Шпана	5270	92384	331	848936052	10	922
293	512|542	Mensch	HuntrX	8985	94468	332	1570216	26	Джунгли Отчаяния
294	516|488	ЛордАлесандро	-=ЛС=-	7394	183130	333	1280925	1	[009]КОРИНФ
295	510|531	Болт	HuntrX	7230	55357	334	2105446	26	002
296	520|514	semik	HuntrX	10495	114543	335	848920371	26	Nükleer
297	510|515	Самаэль Лилит	HuntrX	1244	56427	336	848926143	26	101
298	505|520	Kravec	HuntrX	1919	67731	337	207708	26	Бонусная деревня
299	508|501	Лорд Славик	-=ЛС=-	6532	72047	338	848922253	1	001
300	520|511	Anvel	HuntrX	774	113697	339	1118336	26	Деревня варваров
301	513|517	Северный народ	HuntrX	9472	80062	340	848899645	26	Кабзда
302	512|506	-=НЕПОВТОРИМЫЙ=-	-=ЛС=-	4768	78135	341	1465651	1	@Константинополь@
303	460|540	XroM	NW	9263	64246	343	557631	59	Битва за амбар
304	469|477	iscra	Шпана	1364	103400	344	1065613	10	Деревня варваров
305	517|510	Reckless Wanderer	HuntrX	9455	214685	345	1632070	26	~{Fundation}~
306	497|513	Trubadur47	HuntrX	2097	44113	346	1895599	26	-Д2-
307	507|465	naimvic	-=ЛС=-	641	80697	348	1848857	1	....
308	511|515	Mighty Fall	HuntrX	8292	99287	349	1981863	26	010 Go-Getters
309	514|478	Ankuse	-=ЛС=-	5070	74976	350	1129611	1	[014] Привыкайте к новизне!
310	504|505	idy na vy	HuntrX	9807	61636	351	2083685	26	~[08]~ Граф-99
311	510|479	Ankuse	-=ЛС=-	3012	74976	352	1129611	1	[005] Общеукрепляющая
312	510|510	Mighty Fall	HuntrX	8375	99287	353	1981863	26	011 Ghost In The Flowers
313	499|490	ivanmp3	GAME	7718	25452	354	1589979	31	434
314	523|477	n0n4eS	-=ЛС=-	4858	174023	355	2079486	1	Деревня варваров
315	505|508	Neochem	HuntrX	9968	181710	357	148138	26	014
316	504|522	Kravec	HuntrX	4589	67731	358	207708	26	011,МАТЕМАТИЧКА
317	519|513	Anvel	HuntrX	9346	113697	360	1118336	26	In Your Room
318	543|468	Лорд Славик	-=ЛС=-	8451	72047	361	848922253	1	;?)
319	511|505	Airr	-=ЛC=-	1855	69811	362	848888184	27	Деревня варваров
320	479|501	Eliga	Шпана	5937	48695	363	198369	10	006
321	537|461	-=НЕВЫНОСИМЫЙ=-	-=ЛC=-	5792	15022	364	848944282	27	Лучик Света
322	540|474	green joy	-=ЛС=-	8394	91824	365	848925255	1	006
323	508|514	DarkKnight	HuntrX	2254	102913	366	58621	26	Деревня варваров
324	481|498	Kotigoroshko	Шпана	3151	50771	367	317076	10	007
325	551|484	ossiriss	-=ЛС=-	7418	99993	370	2001797	1	100д
326	521|452	88Magnum88	-=ЛС=-	9980	101235	371	848922770	1	003
327	467|513	Дагир	NW	8600	67856	372	119100	59	Дагир 003
328	536|471	Wanderer68	-=ЛC=-	10237	96632	373	996111	27	Wanderer68
329	501|468	naimvic	-=ЛС=-	3285	80697	374	1848857	1	....
330	502|462	DVFU	-=ЛС=-	939	58137	375	848886452	1	ШикБлескКрасотааа
331	494|515	HarDDD	HuntrX	1852	47843	376	2097439	26	008
332	537|472	palyana	-=ЛC=-	8473	54267	377	1479448	27	Клюб
333	490|524	uncle Barney	HuntrX	7646	64968	378	1203603	26	Деревня варваров
334	501|527	Бухгалтер.	HuntrX	7983	72665	379	2007176	26	[008] Сахарок
335	515|451	Izmailua337	-=ЛС=-	4739	56400	380	1116304	1	Здесь
336	494|499	Like a Wind	GAME	4497	280395	382	1244572	31	That Was Just Your Life
337	519|452	Ханс Руди Гигер	-=ЛС=-	8399	96849	383	2027254	1	A04
338	479|518	Токмэн	NW	4162	67959	384	1180540	59	AVE! A03
339	538|464	88Magnum88	-=ЛС=-	9885	101235	385	848922770	1	005
340	476|470	4Е-4Е	Шпана	5217	95532	386	1592496	10	011.4Е-4Е
341	503|472	naimvic	-=ЛС=-	2265	80697	388	1848857	1	....
342	469|503	Феерия	NW	606	36305	390	1697676	59	009-
343	538|474	тетя. Ася	-=ЛС=-	9408	52496	391	1084387	1	002
344	494|525	Anion	HuntrX	4604	79576	392	2016651	26	003. Деревня варваров ;)
345	547|481	green joy	-=ЛС=-	10202	91824	393	848925255	1	004
